nodes,batch,workers,prefetch,samples,included,samples_s,samples_s_node,jitter,rank_imbalance
2,384,12,4,5,3,"76,865","38,433","2,598",4.08
2,384,12,6,5,3,"77,622","38,811",100,4.38
2,384,16,4,5,3,"90,153","45,077",133,5.52
2,384,16,6,5,3,"90,146","45,073",224,4.50
2,512,12,4,5,3,"79,787","39,894",114,3.87
2,512,12,6,5,3,"79,802","39,901",237,4.04
2,512,16,4,5,3,"89,935","44,967",77,5.03
2,512,16,6,5,3,"89,828","44,914",226,4.73
2,512,16,8,5,3,"89,996","44,998",475,4.27
2,640,12,4,5,3,"78,307","39,153",42,3.97
2,640,12,6,5,3,"78,284","39,142",218,3.21
2,640,16,4,5,3,"90,823","45,412",163,4.36
2,640,16,6,5,3,"90,643","45,321",251,4.03
2,640,16,8,5,3,"90,036","45,018",250,3.54
2,768,16,4,5,3,"86,043","43,022",700,4.54
2,768,16,6,5,3,"86,482","43,241",60,4.98
2,768,16,8,5,3,"86,833","43,416",182,5.34
4,384,12,4,5,3,"153,252","38,313",817,5.28
4,384,12,6,5,3,"153,907","38,477",288,5.65
4,384,16,4,5,3,"173,492","43,373",121,6.17
4,384,16,6,5,3,"173,535","43,384",417,5.28
4,512,12,4,5,3,"152,869","38,217",211,3.91
4,512,12,6,5,3,"152,908","38,227",328,4.37
4,512,16,4,5,3,"177,435","44,359",645,5.33
4,512,16,6,5,3,"177,871","44,468",575,4.55
4,512,16,8,5,3,"177,281","44,320",782,4.18
4,640,12,4,5,3,"146,759","36,690",73,5.38
4,640,12,6,5,3,"146,550","36,637",369,5.63
4,640,16,4,5,3,"171,323","42,831",267,4.56
4,640,16,6,5,3,"170,867","42,717",592,4.82
4,640,16,8,5,3,"170,632","42,658",538,4.49
4,768,16,4,5,3,"158,283","39,571",351,6.02
4,768,16,6,5,3,"158,006","39,501",385,5.57
4,768,16,8,5,3,"158,309","39,577",220,6.12
