nodes,batch,workers,prefetch,samples,included,samples_s,samples_s_node,jitter,rank_imbalance
2,384,16,4,5,3,"90,153","45,076",133,5.52
2,384,16,6,5,3,"90,146","45,073",224,4.50
2,384,16,8,5,3,"89,501","44,750","2,479",4.62
2,512,16,4,5,3,"89,935","44,967",77,5.03
2,512,16,6,5,3,"89,828","44,914",226,4.73
2,512,16,8,5,3,"89,996","44,998",475,4.27
2,640,16,4,5,3,"90,823","45,412",163,4.36
2,640,16,6,5,3,"90,643","45,321",251,4.03
2,640,16,8,5,3,"90,036","45,018",250,3.54
4,384,16,4,5,3,"173,492","43,373",121,6.17
4,384,16,6,5,3,"173,535","43,384",417,5.28
4,384,16,8,5,3,"172,948","43,237","1,273",5.28
4,512,16,4,5,3,"177,435","44,359",645,5.33
4,512,16,6,5,3,"177,871","44,468",575,4.55
4,512,16,8,5,3,"177,281","44,320",782,4.18
4,640,16,4,5,3,"171,323","42,831",267,4.56
4,640,16,6,5,3,"170,867","42,717",592,4.82
4,640,16,8,5,3,"170,632","42,658",538,4.49
8,384,16,4,5,3,"314,459","39,307",517,9.39
8,384,16,6,5,3,"314,642","39,330",708,10.16
8,384,16,8,5,3,"314,548","39,318",367,9.54
8,512,16,4,5,3,"324,098","40,512",291,7.40
8,512,16,6,5,3,"324,162","40,520",908,6.97
8,512,16,8,5,3,"324,174","40,522","1,731",7.08
8,640,16,4,5,3,"318,259","39,782",770,8.25
8,640,16,6,5,3,"317,531","39,691","1,113",7.52
8,640,16,8,5,3,"317,082","39,635",681,7.73
16,384,16,4,5,3,"583,338","36,459","1,376",8.80
16,384,16,6,5,3,"584,032","36,502","1,134",9.06
16,384,16,8,5,3,"583,943","36,496",524,8.51
16,512,16,4,5,3,"529,049","33,066","1,251",14.87
16,512,16,6,5,3,"529,816","33,114",551,14.75
16,512,16,8,5,3,"529,820","33,114",643,14.22
16,640,16,4,5,3,"539,537","33,721","2,927",9.55
16,640,16,6,5,3,"538,831","33,677","2,655",10.19
16,640,16,8,5,3,"537,239","33,577","1,669",9.55
