nodes,batch,workers,prefetch,samples,included,samples_s,samples_s_node,jitter,rank_imbalance
2,384,12,4,5,3,"81,613","40,806",330,5.09
2,384,12,6,5,3,"82,342","41,171",209,5.90
2,384,16,4,5,3,"95,663","47,832",342,4.96
2,384,16,6,5,3,"95,828","47,914",28,5.08
2,512,12,4,5,3,"84,718","42,359",394,4.49
2,512,12,6,5,3,"84,604","42,302",27,4.56
2,512,16,4,10,8,"95,223","47,611","2,529",5.07
2,512,16,6,10,8,"95,670","47,835",716,5.49
2,512,16,8,5,3,"95,936","47,968",168,4.97
2,640,12,4,5,3,"82,769","41,385",74,5.36
2,640,12,6,5,3,"82,765","41,383",224,5.13
2,640,16,4,10,8,"95,884","47,942","1,115",4.74
2,640,16,6,10,8,"95,543","47,771","1,673",4.60
2,640,16,8,5,3,"96,146","48,073",404,4.07
2,768,16,4,5,3,"92,077","46,039",138,4.85
2,768,16,6,5,3,"92,094","46,047",203,3.99
2,768,16,8,5,3,"92,107","46,053",58,4.07
4,384,12,4,5,3,"161,803","40,451",440,6.83
4,384,12,6,5,3,"162,223","40,556",298,6.78
4,384,16,4,5,3,"183,173","45,793",193,6.32
4,384,16,6,5,3,"183,283","45,821",284,6.90
4,512,12,4,5,3,"160,504","40,126",303,5.76
4,512,12,6,5,3,"160,510","40,127",338,6.21
4,512,16,4,5,3,"186,726","46,681",108,6.99
4,512,16,6,5,3,"186,386","46,597",64,5.91
4,640,12,4,5,3,"152,828","38,207",736,7.78
4,640,12,6,5,3,"152,955","38,239",636,7.10
4,640,16,4,5,3,"179,215","44,804",816,6.84
4,640,16,6,6,4,"178,812","44,703","1,202",6.06
